project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
jMetal_jMetal,github_actions,integration-test,False,False,True
jMetal_jMetal,github_actions,package,True,False,True
eclipse-vertx_vert.x,github_actions,"clean,verify",False,False,True
eclipse-vertx_vert.x,github_actions,deploy,True,False,True
spring-cloud_spring-cloud-netflix,circle_ci,dependency:go-offline,False,False,True
spring-cloud_spring-cloud-netflix,circle_ci,"clean,install",False,False,True
microsoft_spring-cloud-azure,github_actions,"clean,install",True,False,True
microsoft_spring-cloud-azure,github_actions,clean,False,False,True
microsoft_spring-cloud-azure,github_actions,exec:exec),False,False,True
microsoft_spring-cloud-azure,github_actions,"compile,dependency:go-offline",False,False,True
microsoft_spring-cloud-azure,github_actions,versions:set,False,False,True
walmartlabs_concord,github_actions,"clean,install",True,False,True
walmartlabs_concord,github_actions,install,True,False,True
knowm_XChange,github_actions,"clean,deploy",False,False,True
knowm_XChange,github_actions,"clean,verify",False,False,True
FasterXML_jackson-jr,github_actions,verify,False,False,True
FasterXML_jackson-jr,github_actions,"source:jar,deploy",True,False,True
FasterXML_jackson-jr,github_actions,test,False,False,True
FasterXML_jackson-jr,travis_ci,"clean,verify",False,False,True
FasterXML_jackson-jr,travis_ci,install,True,False,True
OpenRefine_OpenRefine,github_actions,"compile,formatter:validate,javadoc:javadoc",False,False,True
OpenRefine_OpenRefine,github_actions,"jacoco:prepare-agent,test",False,False,True
OpenRefine_OpenRefine,github_actions,formatter:validate,False,False,True
OpenRefine_OpenRefine,github_actions,package,True,False,True
OpenRefine_OpenRefine,github_actions,test,False,False,True
OpenRefine_OpenRefine,github_actions,"package,deploy",True,False,True
Archy-X_AureliumSkills,github_actions,"clean,install",False,False,True
Waikato_moa,travis_ci,test,False,False,True
scalecube_scalecube-cluster,github_actions,"clean,install",True,False,True
scalecube_scalecube-cluster,github_actions,verify,False,False,True
scalecube_scalecube-cluster,github_actions,release:prepare,False,False,True
scalecube_scalecube-cluster,github_actions,release:perform,True,False,True
scalecube_scalecube-cluster,github_actions,versions:set,False,False,True
scalecube_scalecube-cluster,github_actions,versions:commit,False,False,True
scalecube_scalecube-cluster,github_actions,deploy,True,False,True
scalecube_scalecube-cluster,github_actions,release:rollback,False,False,True
scalecube_scalecube-cluster,github_actions,"clean,deploy",False,False,True
ferstl_depgraph-maven-plugin,github_actions,"clean,install,javadoc:javadoc",False,False,True
ferstl_depgraph-maven-plugin,github_actions,test,False,False,True
lets-blade_blade,travis_ci,"clean,cobertura:cobertura",False,False,True
lets-blade_blade,travis_ci,install,True,False,True
Universite-Gustave-Eiffel_NoiseModelling,github_actions,"test,install",False,False,True
Universite-Gustave-Eiffel_NoiseModelling,github_actions,"clean,deploy",False,False,True
goldmansachs_gs-collections,travis_ci,test,False,False,True
goldmansachs_gs-collections,travis_ci,install,True,False,True
HubSpot_Baragon,travis_ci,verify,False,False,True
HubSpot_Baragon,travis_ci,install,True,False,True
zinggAI_zingg,github_actions,"clean,package",True,False,True
graphhopper_graphhopper,github_actions,"clean,install",False,False,True
graphhopper_graphhopper,github_actions,versions:set,False,False,True
graphhopper_graphhopper,github_actions,deploy,True,False,True
graphhopper_graphhopper,github_actions,"clean,test",False,False,True
graphhopper_graphhopper,github_actions,"source:jar,deploy",True,False,True
apache_bigtop,travis_ci,test,False,False,True
apache_bigtop,travis_ci,"clean,install",True,False,True
aliyun_aliyun-emapreduce-datasources,travis_ci,"clean,checkstyle:check,scalastyle:check,package",True,False,True
Tillerino_Tillerinobot,github_actions,verify,False,False,True
radsz_jacop,travis_ci,test,False,False,True
radsz_jacop,travis_ci,install,True,False,True
