project,subcommand,elapsed_time,critical_path,parallelism,target,commits
livegrep_livegrep,build,2156.163,1567.08,2,//:all,1555.0
livegrep_livegrep,build,2225.086,1552.53,2,//:all,1555.0
livegrep_livegrep,build,2255.785,1617.03,2,//:all,1555.0
livegrep_livegrep,build,2183.672,1245.11,2,//:all,1555.0
livegrep_livegrep,build,2242.805,1473.9,2,//:all,1555.0
livegrep_livegrep,build,2279.979,1488.47,2,//:all,1555.0
livegrep_livegrep,build,2249.871,1629.58,2,//:all,1555.0
livegrep_livegrep,build,2247.776,1461.85,2,//:all,1555.0
lowRISC_opentitan,build,606.6,288.29,1,//:all,16385.0
lowRISC_opentitan,build,612.334,287.41,1,//:all,16385.0
lowRISC_opentitan,build,613.048,283.43,1,//:all,16385.0
lowRISC_opentitan,build,611.212,280.38,1,//:all,16385.0
lowRISC_opentitan,build,626.946,277.57,1,//:all,16385.0
lowRISC_opentitan,build,627.32,272.21,1,//:all,16385.0
lowRISC_opentitan,build,576.654,336.45,1,//:all,16385.0
lowRISC_opentitan,build,580.966,331.82,1,//:all,16385.0
lowRISC_opentitan,build,639.719,351.0,1,//:all,16385.0
lowRISC_opentitan,build,637.672,342.12,1,//:all,16385.0
lowRISC_opentitan,build,337.768,133.12,2,//:all,16385.0
lowRISC_opentitan,build,418.308,205.0,2,//:all,16385.0
lowRISC_opentitan,build,361.695,140.52,2,//:all,16385.0
lowRISC_opentitan,build,395.677,176.33,2,//:all,16385.0
lowRISC_opentitan,build,319.996,137.69,2,//:all,16385.0
lowRISC_opentitan,build,385.496,202.02,2,//:all,16385.0
lowRISC_opentitan,build,310.164,146.2,2,//:all,16385.0
lowRISC_opentitan,build,416.257,199.53,2,//:all,16385.0
lowRISC_opentitan,build,314.199,122.99,2,//:all,16385.0
lowRISC_opentitan,build,392.982,204.63,2,//:all,16385.0
sogou_srpc,build,1127.993,1057.59,1,//:all,689.0
sogou_srpc,build,1132.102,1062.73,1,//:all,689.0
sogou_srpc,build,1159.044,1026.47,1,//:all,689.0
sogou_srpc,build,1155.042,1030.81,1,//:all,689.0
sogou_srpc,build,1187.093,1113.61,1,//:all,689.0
sogou_srpc,build,1190.657,1046.34,1,//:all,689.0
sogou_srpc,build,1135.396,1040.47,1,//:all,689.0
sogou_srpc,build,1135.432,1039.6,1,//:all,689.0
sogou_srpc,build,1174.045,1097.89,1,//:all,689.0
sogou_srpc,build,1177.157,1098.88,1,//:all,689.0
sogou_srpc,build,585.033,541.68,2,//:all,689.0
sogou_srpc,build,518.639,459.01,2,//:all,689.0
sogou_srpc,build,595.164,511.82,2,//:all,689.0
sogou_srpc,build,652.635,580.14,2,//:all,689.0
sogou_srpc,build,572.413,527.31,2,//:all,689.0
sogou_srpc,build,612.262,564.71,2,//:all,689.0
sogou_srpc,build,565.198,493.06,2,//:all,689.0
sogou_srpc,build,584.938,511.16,2,//:all,689.0
sogou_srpc,build,593.304,538.75,2,//:all,689.0
sogou_srpc,build,628.55,567.87,2,//:all,689.0
evilcorpltd_aTox,build,82.74,20.79,4,//:all,1249.0
evilcorpltd_aTox,build,101.402,24.34,4,//:all,1249.0
evilcorpltd_aTox,build,90.928,23.83,4,//:all,1249.0
