project,build_tool,name,category
undertow-io_undertow,maven,org.codehaus.mojo:exec-maven-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-jar-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-shade-plugin,native
undertow-io_undertow,maven,org.apache.felix:maven-bundle-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-jar-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-surefire-plugin,native
undertow-io_undertow,maven,org.jacoco:jacoco-maven-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-dependency-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-antrun-plugin,native
camunda_zeebe,maven,com.mycila:license-maven-plugin,external
camunda_zeebe,maven,org.codehaus.mojo:build-helper-maven-plugin,external
camunda_zeebe,maven,org.codehaus.mojo:exec-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-dependency-plugin,native
camunda_zeebe,maven,org.apache.maven.plugins:maven-dependency-plugin,native
camunda_zeebe,maven,org.revapi:revapi-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-dependency-plugin,native
camunda_zeebe,maven,org.apache.maven.plugins:maven-jar-plugin,native
camunda_zeebe,maven,org.codehaus.mojo:build-helper-maven-plugin,external
camunda_zeebe,maven,org.codehaus.mojo:exec-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-failsafe-plugin,native
camunda_zeebe,maven,org.codehaus.mojo:flatten-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-jar-plugin,native
camunda_zeebe,maven,org.revapi:revapi-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-dependency-plugin,native
camunda_zeebe,maven,org.apache.maven.plugins:maven-failsafe-plugin,native
camunda_zeebe,maven,org.apache.maven.plugins:maven-dependency-plugin,native
camunda_zeebe,maven,org.apache.maven.plugins:maven-jar-plugin,native
camunda_zeebe,maven,net.alchim31.maven:scala-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-jar-plugin,native
camunda_zeebe,maven,org.apache.maven.plugins:maven-jar-plugin,native
camunda_zeebe,maven,com.diffplug.spotless:spotless-maven-plugin,external
camunda_zeebe,maven,org.apache.maven.plugins:maven-failsafe-plugin,native
