project,ci_tool,build_tool,raw_arguments,local_cache,remote_cache,parallelism
sematic-ai_sematic,circle_ci,bazel,coverage //sematic/... --test_output=all --combined_report=lcov --test_tag_filters=cov,False,False,2
sematic-ai_sematic,circle_ci,bazel,info output_path)/_coverage/_coverage_report.dat coverage.dat,False,False,2
sematic-ai_sematic,circle_ci,bazel,run //sematic/tests/integration:test_pip_install,False,False,2
VirusTotal_yara,github_actions,bazel,build @jansson//... //tests/...,False,False,2
VirusTotal_yara,github_actions,bazel,test --test_output=errors //tests/...,False,False,2
autodiff_autodiff,github_actions,bazel,build //examples/forward:all,False,False,2
autodiff_autodiff,github_actions,bazel,test //examples/forward:all --test_output=all,False,False,2
CodeIntelligenceTesting_jazzer,github_actions,bazel,run @rules_jvm_external//private/tools/java/rules/jvm/external/jar:MergeJars -- \,False,False,2
grpc-ecosystem_grpc-gateway,github_actions,bazel,run //:gazelle -- update-repos -from_file=go.mod -to_macro=repositories.bzl%go_repositories,False,False,2
grpc-ecosystem_grpc-gateway,github_actions,bazel,run //:gazelle && git diff --exit-code,False,False,2
grpc-ecosystem_grpc-gateway,github_actions,bazel,run //:gazelle -- update-repos -from_file=go.mod -to_macro=repositories.bzl%go_repositories &&,False,False,2
grpc-ecosystem_grpc-gateway,github_actions,bazel,run //:buildifier && git diff --exit-code,False,False,2
grpc-ecosystem_grpc-gateway,github_actions,bazel,test //...,False,False,2
grpc-ecosystem_grpc-gateway,buildkite,bazel,build --build_tag_filters=-nolinux,False,False,2
grpc-ecosystem_grpc-gateway,buildkite,bazel,test--features=race --test_tag_filters=-nolinux,False,False,2
grpc-ecosystem_grpc-gateway,buildkite,bazel,build --build_tag_filters=-nomacos,False,False,2
grpc-ecosystem_grpc-gateway,buildkite,bazel,test--features=race --test_tag_filters=-nomacos,False,False,2
evilcorpltd_aTox,github_actions,bazel,build //...,False,False,2
evilcorpltd_aTox,github_actions,bazel,test //...,False,False,2
google_incremental-dom,circle_ci,bazel,build ...,False,False,2
google_incremental-dom,circle_ci,bazel,test ...,False,False,2
google_santa,github_actions,bazel,test --test_strategy=exclusive --test_output=errors --runs_per_test 50 -t- :unit_tests --define=SANTA_BUILD_TYPE=adhoc,False,False,3
google_santa,github_actions,bazel,build --apple_generate_dsym -c opt :release --define=SANTA_BUILD_TYPE=adhoc,False,False,2
google_santa,github_actions,bazel,test :unit_tests --define=SANTA_BUILD_TYPE=adhoc --test_output=errors,False,False,2
p4lang_p4c,github_actions,bazel,build //... --verbose_failures --distinct_host_configuration=false,False,False,2
p4lang_p4c,github_actions,bazel,build //... --verbose_failures --distinct_host_configuration=false,False,False,2
google_benchmark,github_actions,bazel,build //:benchmark //:benchmark_main //test/...,False,False,2
google_benchmark,github_actions,bazel,test --test_output=all //test/...,False,False,2
livegrep_livegrep,github_actions,bazel,build //...,False,False,2
livegrep_livegrep,github_actions,bazel,test --test_arg=-test.v //...,False,False,2
livegrep_livegrep,github_actions,bazel,info output_base)/external/go_sdk/bin/gofmt,False,False,2
google_cpu_features,github_actions,bazel,test -s --verbose_failures //...,False,False,2
wix_exodus,github_actions,bazel,https://github.com/bazelbuild/bazelisk/releases/latest/download/bazelisk-linux-amd64,False,False,2
wix_exodus,github_actions,bazel,--bazelrc=.bazelrc.remote test --repository_cache=/github/home/.bazel_cache -k //...,False,False,2
google_chrome-ssh-agent,github_actions,bazel,build ...,False,False,2
google_chrome-ssh-agent,github_actions,bazel,test --test_output=errors ...,False,False,2
google_chrome-ssh-agent,github_actions,bazel,build ...,False,False,2
google_chrome-ssh-agent,github_actions,bazel,build ...,False,False,2
google_chrome-ssh-agent,github_actions,bazel,test --test_output=errors ...,False,False,2
google-research_turkish-morphology,github_actions,bazel,build -c opt //...,False,False,2
openconfig_gnoi,github_actions,bazel,build //...,False,False,2
apache_rocketmq,github_actions,maven,-B test -T 2C --file pom.xml,False,False,2
apache_rocketmq,github_actions,maven,-B package --file pom.xml,False,False,2
apache_rocketmq,github_actions,bazel,build --config=remote //...,False,False,2
apache_rocketmq,github_actions,bazel,test --config=remote --nocache_test_results //...,False,False,2
apache_rocketmq,github_actions,maven,clean deploy -DskipTests=true --settings .github/asf-deploy-settings.xml,False,False,2
beancount_beancount,github_actions,bazel,--bazelrc=.bazelrc.travis build //...,False,False,2
beancount_beancount,github_actions,bazel,--bazelrc=.bazelrc.travis test --test_output=errors //...,False,False,2
vaticle_typedb-studio,circle_ci,bazel,build //:assemble-platform --define APPLE_CODE_SIGN=yes --define APPLE_ID=$APPLE_ID --define APPLE_ID_PASSWORD=$APPLE_ID_PASSWORD --define APPLE_CODE_SIGNING_CERT_PASSWORD=$APPLE_CODE_SIGNING_CERT_PASSWORD --spawn_strategy=local,False,False,4
vaticle_typedb-studio,circle_ci,bazel,build //:assemble-platform,False,False,2
vaticle_typedb-studio,circle_ci,bazel,build //:assemble-linux-targz,False,False,2
Tinder_bazel-diff,github_actions,bazel,$(git rev-parse HEAD~1) $(git rev-parse HEAD),False,False,2
Tinder_bazel-diff,github_actions,bazel,$(git rev-parse HEAD~1) $(git rev-parse HEAD),False,False,2
antlr_antlr3,github_actions,maven,-B -DskipTests package verify --file pom.xml,False,False,2
ray-project_ray,buildkite,bazel,clean) || true,False,False,2
ray-project_ray,buildkite,bazel,test --config=ci --dynamic_mode=off --test_env=CI $(./ci/run/bazel_export_options) --build_tests_only --test_tag_filters=-post_wheel_build -- //:all python/ray/dashboard/... -python/ray/serve/... -rllib/... -core_worker_test,False,False,2
ray-project_ray,buildkite,bazel,test $(./ci/run/bazel_export_options) --config=ci --test_env=CONDA_EXE --test_env=CONDA_PYTHON_EXE --test_env=CONDA_SHLVL --test_env=CONDA_PREFIX --test_env=CONDA_DEFAULT_ENV --test_env=CONDA_PROMPT_MODIFIER --test_env=CI --test_tag_filters=client_tests,small_size_python_tests -- python/ray/tests/...,False,False,2
ray-project_ray,buildkite,bazel,test --config=ci $(./ci/run/bazel_export_options) --test_env=CI --test_tag_filters=-kubernetes,medium_size_python_tests_a_to_j python/ray/tests/...,False,False,2
ray-project_ray,buildkite,bazel,test --config=ci $(./ci/run/bazel_export_options) --test_env=CI --test_tag_filters=-kubernetes,medium_size_python_tests_k_to_z python/ray/tests/...,False,False,2
nelhage_rules_boost,circle_ci,bazel,test --test_output=errors //...,False,False,2
quantumlib_Stim,github_actions,bazel,build :all,False,False,2
gTile_gTile,github_actions,bazel,build //...,False,False,2
gTile_gTile,github_actions,bazel,test --test_output=errors //...,False,False,2
gTile_gTile,buildkite,bazel,build //...,False,False,2
gTile_gTile,buildkite,bazel,test //...,False,False,2
snape_RVO2-CS,github_actions,bazel,build ...,False,False,2
snape_RVO2-CS,github_actions,bazel,build ...,False,False,3
snape_RVO2-CS,github_actions,bazel,build ...,False,False,2
VeriSilicon_TIM-VX,github_actions,bazel,build unit_test,False,False,2
deepmind_lab,github_actions,bazel,--bazelrc=.precommit.bazelrc build ${{matrix.cfg.config}} --copt=-Wno-sign-compare //...,False,False,2
deepmind_lab,github_actions,bazel,--bazelrc=.precommit.bazelrc test  ${{matrix.cfg.config}} --copt=-Wno-sign-compare //...,False,False,2
